1	506 308 613 846 
1	352 192 624 665 
1	433 106 620 770 
0	411 84 611 652 
0	378 322 627 709 
0	498 149 607 756 
1	433 2 627 721 
0	542 249 622 717 
0	503 252 626 739 
0	513 313 611 733 
1	550 241 613 642 
0	429 152 627 896 
1	352 187 620 845 
1	352 196 620 764 
0	542 79 606 859 
1	430 70 623 733 
0	514 0 615 733 
1	451 102 613 687 
1	522 249 620 718 
0	422 206 613 689 
0	544 30 618 914 
1	530 282 623 806 
0	360 197 614 733 
1	544 284 615 733 
1	544 276 620 778 
1	478 257 613 905 
0	389 181 615 903 
0	453 199 628 679 
1	432 272 620 825 
0	492 154 615 921 
1	497 250 620 725 
1	416 184 613 738 
1	438 323 613 683 
0	478 14 628 733 
1	343 126 627 786 
0	394 318 629 733 
1	459 190 620 740 
1	408 121 614 733 
1	438 247 620 856 
1	528 164 620 799 
1	478 162 607 733 
0	337 256 627 682 
0	504 279 615 795 
0	561 173 622 829 
1	346 227 602 646 
1	590 58 610 733 
1	450 254 620 683 
0	581 275 613 701 
1	344 210 615 835 
0	592 157 615 879 
1	343 139 608 729 
0	544 283 615 921 
1	560 113 620 723 
0	442 118 615 704 
0	335 102 613 799 
0	433 292 627 733 
1	522 74 620 866 
1	485 259 615 680 
1	588 67 620 840 
1	406 70 620 834 
1	462 53 622 843 
1	345 196 620 884 
1	512 299 622 840 
1	482 44 620 753 
0	491 192 613 656 
0	456 103 616 745 
0	455 102 615 651 
0	341 231 615 801 
0	548 37 615 857 
1	334 123 620 918 
1	436 0 620 766 
0	381 316 626 738 
0	538 285 615 740 
1	381 261 620 772 
0	501 280 606 885 
1	528 137 614 660 
1	462 195 629 790 
1	383 315 620 676 
1	441 183 620 742 
0	332 30 607 923 
1	433 255 622 700 
1	600 51 615 674 
0	537 0 627 922 
0	361 73 615 733 
0	537 192 627 811 
0	584 192 607 732 
1	490 22 620 632 
1	594 169 620 820 
1	594 11 620 698 
1	565 225 620 875 
0	463 150 613 920 
0	333 284 613 920 
0	397 13 613 795 
0	386 149 604 670 
1	404 233 622 810 
0	564 160 629 811 
0	404 260 607 811 
0	521 102 616 668 
1	485 208 613 692 
1	575 77 620 799 
0	358 102 615 921 
0	594 45 615 802 
0	520 129 614 666 
1	478 54 627 733 
0	533 166 611 873 
1	451 229 620 865 
1	468 251 613 752 
1	454 72 620 811 
1	413 254 607 904 
0	417 211 622 804 
1	594 226 620 683 
0	466 95 622 811 
0	537 0 627 652 
0	533 326 615 827 
1	540 174 615 736 
1	421 321 620 781 
1	424 235 614 733 
1	529 276 620 906 
1	574 135 620 803 
1	375 68 613 733 
0	342 214 615 761 
1	529 168 613 773 
1	537 0 622 750 
0	415 238 627 907 
1	460 173 615 708 
1	418 230 620 733 
0	475 192 627 811 
1	534 38 614 733 
0	495 310 616 854 
1	514 281 620 716 
1	428 83 620 733 
1	357 283 615 686 
1	522 221 620 675 
0	445 124 615 852 
0	392 183 613 909 
1	457 133 620 659 
1	518 258 620 748 
0	432 215 614 733 
0	426 318 629 683 
1	574 200 620 719 
1	533 242 620 889 
1	572 286 613 658 
0	451 0 615 821 
0	419 155 615 696 
1	414 61 623 755 
1	511 145 620 832 
0	356 246 615 727 
1	343 192 620 669 
0	360 147 627 811 
0	361 57 607 837 
0	400 239 614 886 
1	420 3 620 875 
0	462 52 622 639 
0	442 18 606 683 
1	424 97 620 632 
0	499 122 613 847 
1	417 192 627 831 
0	417 330 627 922 
1	379 0 620 875 
0	361 307 613 649 
1	481 30 620 722 
1	450 120 615 733 
0	358 102 615 733 
0	445 186 615 728 
1	432 241 627 776 
1	576 276 620 863 
1	594 234 620 681 
0	506 19 627 657 
0	512 35 622 823 
1	579 71 620 792 
1	515 292 613 728 
0	387 168 620 871 
1	599 26 613 733 
0	441 41 615 733 
0	459 268 603 768 
1	384 104 613 920 
0	546 271 613 887 
1	505 175 615 838 
1	401 185 613 733 
0	477 170 627 876 
1	459 91 620 733 
0	523 273 615 711 
1	597 306 629 809 
0	475 76 627 882 
0	401 192 627 811 
1	584 260 622 733 
0	415 127 627 751 
1	403 153 620 830 
0	531 191 627 787 
0	417 192 627 811 
0	537 43 627 819 
1	438 30 615 708 
1	420 57 615 660 
0	589 266 629 867 
0	601 192 627 811 
1	543 232 615 844 
1	388 165 620 730 
0	408 93 613 899 
0	365 64 614 693 
0	384 121 614 741 
1	459 39 613 663 
0	544 12 627 767 
1	405 24 614 751 
1	376 327 620 910 
0	510 101 616 774 
0	331 138 631 702 
0	497 203 622 824 
0	361 263 606 816 
1	382 295 615 837 
1	516 220 614 870 
1	549 16 615 733 
1	431 173 615 870 
1	435 0 627 632 
0	425 156 613 645 
0	442 2 627 839 
1	478 132 620 820 
0	335 289 614 733 
1	442 134 622 795 
1	514 262 629 733 
0	559 314 627 733 
0	339 2 619 715 
1	342 304 620 632 
1	377 187 620 762 
0	553 149 614 688 
0	585 213 611 684 
1	489 173 620 875 
0	419 59 604 895 
1	353 117 615 886 
1	450 122 620 799 
0	393 189 615 744 
0	537 0 627 799 
0	352 107 605 733 
0	509 74 611 632 
1	526 292 620 634 
1	390 42 620 737 
0	462 10 614 848 
0	419 301 613 920 
1	483 151 614 812 
0	496 117 622 641 
0	465 47 614 808 
0	337 216 627 795 
1	558 132 620 797 
0	417 192 627 811 
1	470 165 620 800 
0	464 267 615 869 
0	535 74 611 747 
0	417 192 627 811 
1	451 270 620 654 
1	450 66 620 912 
0	512 172 602 893 
0	595 284 622 656 
1	432 277 620 655 
0	417 0 627 799 
0	542 131 617 732 
0	557 274 616 733 
1	507 178 620 783 
1	486 248 613 917 
0	421 293 615 749 
0	510 102 615 653 
1	399 183 620 637 
1	349 236 620 875 
1	576 150 629 733 
1	479 245 622 773 
1	516 9 620 868 
1	450 122 614 888 
0	568 78 622 648 
1	546 90 613 914 
1	478 114 627 858 
0	333 283 615 683 
0	469 305 627 890 
1	355 92 629 661 
1	401 86 620 886 
1	522 219 613 798 
0	544 55 607 841 
0	436 300 615 636 
1	522 137 613 920 
1	385 94 620 913 
0	459 7 613 776 
1	483 107 629 862 
1	523 136 615 694 
1	443 108 620 660 
1	415 185 613 875 
1	554 68 629 883 
0	463 311 615 672 
1	432 211 621 851 
1	448 125 620 910 
1	571 193 613 872 
0	501 49 615 696 
1	408 244 620 733 
0	362 205 614 710 
1	352 182 613 795 
1	505 258 620 796 
0	432 171 616 902 
1	574 200 620 719 
1	527 161 613 820 
1	499 248 615 726 
0	534 209 627 769 
1	439 222 620 799 
1	439 304 620 705 
0	580 309 622 703 
1	434 111 622 690 
0	487 110 612 750 
1	459 99 620 733 
1	480 303 620 916 
1	343 314 620 733 
0	510 100 615 822 
0	594 81 620 733 
0	492 240 615 921 
1	459 167 620 840 
1	391 296 620 633 
0	476 312 627 733 
0	601 0 607 837 
0	502 244 615 920 
1	459 75 620 795 
1	459 192 627 881 
1	577 287 615 842 
1	408 74 620 811 
1	361 327 620 881 
0	451 118 627 632 
0	377 298 622 711 
0	471 247 613 733 
0	419 291 604 733 
0	438 144 615 793 
1	482 186 620 683 
0	395 329 611 733 
0	576 207 615 847 
1	424 297 620 638 
0	563 264 607 837 
1	544 27 620 677 
1	335 144 615 795 
1	451 223 620 763 
0	562 306 616 811 
1	439 122 622 898 
1	357 270 620 775 
1	497 250 615 789 
1	545 180 615 919 
0	536 65 613 853 
1	525 96 620 849 
0	484 40 614 785 
1	493 146 615 915 
1	559 102 625 707 
0	343 1 620 897 
0	380 192 615 892 
1	459 69 622 843 
0	410 80 607 652 
0	372 148 615 734 
